title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,official_idx,official
"Bán Xác Laptop Dell E6510, máy không lên hình. Giá bán 400k.",400.000 ₫,https://www.lazada.vn/products/ban-xac-laptop-dell-e6510-may-khong-len-hinh-gia-ban-400k-i2346420094.html,28,28,,Tiền Giang,lazada,28,
Laptop Lenovo IdeaPad 5 Pro Ryzen 7-5800H l RAM 16G l SSD 512G l VGA RTX 3050 l 16' 2K l New FullBox 100% [ BẢO HÀNH 12 THÁNG ],18.400.000 ₫,https://www.lazada.vn/products/laptop-lenovo-ideapad-5-pro-ryzen-7-5800h-l-ram-16g-l-ssd-512g-l-vga-rtx-3050-l-16-2k-l-new-fullbox-100-bao-hanh-12-thang-i2051658726.html,29,29,,Hồ Chí Minh,lazada,29,
Laptop cũ 4GB giá rẻ (Intel Core 2 / 4GB / 120GB HDD) | Chính hãng,1.815.491 ₫,https://www.lazada.vn/products/laptop-cu-4gb-gia-re-intel-core-2-4gb-120gb-hdd-chinh-hang-i2634433312.html,30,30,9% Off,Hồ Chí Minh,lazada,30,
Ultrabook Dell Latitude E7470 Core i7-6500/ ram 8gb/ ssd 256gb/ 14 inch Full HD iPs- Hàng Xách Tay USA,4.850.000 ₫,https://www.lazada.vn/products/ultrabook-dell-latitude-e7470-core-i7-6500-ram-8gb-ssd-256gb-14-inch-full-hd-ips-hang-xach-tay-usa-i1528093411.html,31,31,,Thái Bình,lazada,31,
"Laptop Cũ Lenovo ThinkPad P50 [ HÀNG US ZIN ĐẸP] i7-6820HQ| RAM 16GB| SSD 256GB| Quadro M1000M FHD| 15.6 FHD, Win 10 Bản quyền, Cam kết sản phẩm đúng mô tả, Chất lượng đảm bảo, Bảo hành đầy đủ, Hỗ trợ trọn đời",9.950.000 ₫,https://www.lazada.vn/products/laptop-cu-lenovo-thinkpad-p50-hang-us-zin-dep-i7-6820hq-ram-16gb-ssd-256gb-quadro-m1000m-fhd-156-fhd-win-10-ban-quyen-cam-ket-san-pham-dung-mo-ta-chat-luong-dam-bao-bao-hanh-day-du-ho-tro-tron-doi-i1768158466.html,32,32,15% Off,"7 Đã bán
(1)
Hà Nội",lazada,32,
Laptop acer Extensa 4630Z ram 4G ổ cứng 250 Gb đầy đủ phụ kiện Bảo hành 7 tháng,2.000.000 ₫,https://www.lazada.vn/products/laptop-acer-extensa-4630z-ram-4g-o-cung-250-gb-day-du-phu-kien-bao-hanh-7-thang-i2634418635.html,33,33,,Hồ Chí Minh,lazada,33,
"Thanh lý Laptop DEll E6400, Cpu core 2 duo, ram 2G, ô cứng 120G. Giá bán 900k",900.000 ₫,https://www.lazada.vn/products/thanh-ly-laptop-dell-e6400-cpu-core-2-duo-ram-2g-o-cung-120ggia-ban-900k-i2387428410.html,34,34,,Tiền Giang,lazada,34,
"Microsoft Surface Pro 6 [ MÁY NHẬP USA NGUYÊN BẢN] Máy đã qua sử dụng, Core i5 - 8250u Ram 8GB SSD 128GB Màn hình 2K Cảm ứng, Kèm Phím và Sạc chính hãng, Win 10 Bản quyền, Cam kết sản phẩm đúng mô tả, Chất lượng, Bảo hành đầy đủ",9.600.000 ₫,https://www.lazada.vn/products/microsoft-surface-pro-6-may-nhap-usa-nguyen-ban-may-da-qua-su-dung-core-i5-8250u-ram-8gb-ssd-128gb-man-hinh-2k-cam-ung-kem-phim-va-sac-chinh-hang-win-10-ban-quyen-cam-ket-san-pham-dung-mo-ta-chat-luong-bao-hanh-day-du-i2240094302.html,35,35,3% Off,Hà Nội,lazada,35,
Laptop Gaming Lenovo IdeaPad Gaming 3 15ACH6 | AMD Ryzen 5-5600H | Ram 8GB | SSD 256GB | RTX 3050 4GB | 15.6 Inch FHD IPS 120Hz,11.935.000 ₫,https://www.lazada.vn/products/laptop-gaming-lenovo-ideapad-gaming-3-15ach6-amd-ryzen-5-5600h-ram-8gb-ssd-256gb-rtx-3050-4gb-156-inch-fhd-ips-120hz-i2503251195.html,36,36,,Hồ Chí Minh,lazada,36,
LAPTOP MSI MINI ATOM RAM 2GB SSD 120G 10.1INCH,1.710.000 ₫,https://www.lazada.vn/products/laptop-msi-mini-atom-ram-2gb-ssd-120g-101inch-i1783904090.html,37,37,10% Off,Hồ Chí Minh,lazada,37,
"[Siêu Phẩm BH 1 Năm] Laptop HP Elite Dragonfly X360 Core i5 8265U/ Ram 8Gb/ 13.3'' IPS FHD lật xoay cảm ứng/ Face ID, vân tay nhận dạng...",13.950.000 ₫,https://www.lazada.vn/products/sieu-pham-bh-1-nam-laptop-hp-elite-dragonfly-x360-core-i5-8265u-ram-8gb-133-ips-fhd-lat-xoay-cam-ung-face-id-van-tay-nhan-dang-i2308178510.html,38,38,,Nghệ An,lazada,38,
"Bán Xác Laptop Lenovo T410, máy không lên hình. Giá bán 400k.",381.640 ₫,https://www.lazada.vn/products/ban-xac-laptop-lenovo-t410-may-khong-len-hinh-gia-ban-400k-i2346339629.html,39,39,5% Off,"5 Đã bán
(1)
Tiền Giang",lazada,39,
"Lenovo Thinkpad T540P Core i5, Ram 4Gb, SSD 120Gb, Màn hình 15.6"" máy nhập đẹp 95%",6.850.000 ₫,https://www.lazada.vn/products/lenovo-thinkpad-t540p-core-i5-ram-4gb-ssd-120gb-man-hinh-156-may-nhap-dep-95-i1768696631.html,40,40,,Nam Định,lazada,40,
Laptop nhập khẩu thanh lý xả kho,1.816.400 ₫,https://www.lazada.vn/products/laptop-nhap-khau-thanh-ly-xa-kho-i2634525418.html,1,1,9% Off,Hồ Chí Minh,lazada,1,
Laptop giá rẻ. Laptop sinh viên. Laptop HP COMPAQ CQ60,990.000 ₫,https://www.lazada.vn/products/laptop-gia-re-laptop-sinh-vien-laptop-hp-compaq-cq60-i1618469968.html,2,2,42% Off,Thanh Hóa,lazada,2,
"Lenovo Legion 5 Pro Gaming Laptop, 16"" 165Hz QHD IPS Computer, AMD Ryzen 7 5800H 3.2GHz, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070 8GB GDDR6, Windows 11 Home, Grey Black, EAT Mouse Pad",28.950.600 ₫,https://www.lazada.vn/products/lenovo-legion-5-pro-gaming-laptop-16-165hz-qhd-ips-computer-amd-ryzen-7-5800h-32ghz-16gb-ram-1tb-ssd-nvidia-geforce-rtx-3070-8gb-gddr6-windows-11-home-grey-black-eat-mouse-pad-i2290783005.html,3,3,,Bình Thuận,lazada,3,
"Bán Xác Laptop HP CQ40, Acer 4738Z: 400k/ 1 máy.",400.000 ₫,https://www.lazada.vn/products/ban-xac-laptop-hp-cq40-acer-4738z-400k-1-may-i2328471058.html,4,4,,Tiền Giang,lazada,4,
